date,state,city,place_type,confirmed,deaths
10/04/2020,SC,Anita Garibaldi,city,1,0
10/04/2020,SC,Antônio Carlos,city,11,2
10/04/2020,SC,Araranguá,city,4,0
10/04/2020,SC,Aurora,city,1,0
10/04/2020,SC,Balneário Arroio do Silva,city,2,0
10/04/2020,SC,Balneário Camboriú,city,51,0
10/04/2020,SC,Balneário Gaivota,city,2,1
10/04/2020,SC,Balneário Piçarras,city,1,0
10/04/2020,SC,Barra Velha,city,1,0
10/04/2020,SC,Biguaçu,city,2,0
10/04/2020,SC,Blumenau,city,61,0
10/04/2020,SC,Botuverá,city,3,0
10/04/2020,SC,Braço do Norte,city,25,0
10/04/2020,SC,Brusque,city,16,0
10/04/2020,SC,Caçador,city,2,0
10/04/2020,SC,Camboriú,city,24,0
10/04/2020,SC,Canelinha,city,1,0
10/04/2020,SC,Chapecó,city,6,0
10/04/2020,SC,Cocal do Sul,city,1,0
10/04/2020,SC,Criciúma,city,37,3
10/04/2020,SC,Florianópolis,city,167,3
10/04/2020,SC,Forquilhinha,city,1,0
10/04/2020,SC,Garopaba,city,1,0
10/04/2020,SC,Gaspar,city,5,1
10/04/2020,SC,Governador Celso Ramos,city,3,0
10/04/2020,SC,Gravatal,city,7,0
10/04/2020,SC,Guabiruba,city,1,0
10/04/2020,SC,Guaramirim,city,1,0
10/04/2020,SC,Içara,city,7,0
10/04/2020,SC,Imbituba,city,9,0
10/04/2020,SC,Importados/Indefinidos,city,8,0
10/04/2020,SC,Indaial,city,2,0
10/04/2020,SC,Irati,city,1,0
10/04/2020,SC,Itajaí,city,36,1
10/04/2020,SC,Itapema,city,7,0
10/04/2020,SC,Itapiranga,city,1,0
10/04/2020,SC,Jaguaruna,city,3,0
10/04/2020,SC,Jaraguá do Sul,city,10,0
10/04/2020,SC,Joaçaba,city,1,0
10/04/2020,SC,Joinville,city,51,1
10/04/2020,SC,Lages,city,8,0
10/04/2020,SC,Laguna,city,4,0
10/04/2020,SC,Mafra,city,1,0
10/04/2020,SC,Massaranduba,city,1,1
10/04/2020,SC,Morro da Fumaça,city,2,0
10/04/2020,SC,Navegantes,city,5,0
10/04/2020,SC,Nova Trento,city,1,0
10/04/2020,SC,Orleans,city,1,0
10/04/2020,SC,Palhoça,city,6,1
10/04/2020,SC,Papanduva,city,2,0
10/04/2020,SC,Paulo Lopes,city,1,0
10/04/2020,SC,Pedras Grandes,city,2,1
10/04/2020,SC,Pescaria Brava,city,1,0
10/04/2020,SC,Pomerode,city,1,0
10/04/2020,SC,Porto Belo,city,5,1
10/04/2020,SC,Rancho Queimado,city,2,0
10/04/2020,SC,Rio Negrinho,city,1,0
10/04/2020,SC,Rio Rufino,city,1,0
10/04/2020,SC,Sangão,city,1,0
10/04/2020,SC,Santa Rosa de Lima,city,2,0
10/04/2020,SC,Santo Amaro da Imperatriz,city,1,0
10/04/2020,SC,São Bento do Sul,city,1,0
10/04/2020,SC,São Domingos,city,3,0
10/04/2020,SC,São Francisco do Sul,city,2,0
10/04/2020,SC,São José,city,25,0
10/04/2020,SC,São Lourenço do Oeste,city,2,0
10/04/2020,SC,São Ludgero,city,6,1
10/04/2020,SC,São Pedro de Alcântara,city,1,0
10/04/2020,SC,Schroeder,city,1,0
10/04/2020,SC,Siderópolis,city,5,0
10/04/2020,SC,Sombrio,city,6,0
10/04/2020,SC,Tangará,city,1,0
10/04/2020,SC,Tijucas,city,3,0
10/04/2020,SC,Timbé do Sul,city,1,0
10/04/2020,SC,Timbó,city,1,0
10/04/2020,SC,Tubarão,city,30,1
10/04/2020,SC,Urussanga,city,3,0
10/04/2020,SC,Vidal Ramos,city,1,0
10/04/2020,SC,Videira,city,1,0
06/04/2020,DF,,state,485,10
10/04/2020,SE,Aracaju,city,33,4
10/04/2020,SE,Capela,city,1,0
10/04/2020,SE,Itabaiana,city,1,0
10/04/2020,SE,Nossa Senhora da Glória,city,2,0
10/04/2020,SE,Pacatuba,city,2,0
10/04/2020,SE,Propriá,city,2,0
10/04/2020,SE,Simão Dias,city,1,0
07/04/2020,DF,,state,503,12
10/04/2020,SP,Adamantina,city,0,0
10/04/2020,SP,Águas de Lindóia,city,1,1
10/04/2020,SP,Águas de São Pedro,city,1,0
10/04/2020,SP,Agudos,city,1,1
10/04/2020,SP,Americana,city,3,2
10/04/2020,SP,Araçatuba,city,15,0
10/04/2020,SP,Araçoiaba da Serra,city,1,0
10/04/2020,SP,Araraquara,city,7,1
10/04/2020,SP,Araras,city,3,0
10/04/2020,SP,Artur Nogueira,city,1,0
10/04/2020,SP,Arujá,city,10,1
10/04/2020,SP,Assis,city,4,1
10/04/2020,SP,Atibaia,city,13,0
10/04/2020,SP,Avaré,city,3,0
10/04/2020,SP,Bady Bassitt,city,1,0
10/04/2020,SP,Barra do Turvo,city,1,0
10/04/2020,SP,Barretos,city,4,0
10/04/2020,SP,Barueri,city,44,2
10/04/2020,SP,Batatais,city,1,0
10/04/2020,SP,Bauru,city,11,1
10/04/2020,SP,Bebedouro,city,2,0
10/04/2020,SP,Birigui,city,2,0
10/04/2020,SP,Boituva,city,4,0
10/04/2020,SP,Botucatu,city,15,1
10/04/2020,SP,Bragança Paulista,city,26,4
10/04/2020,SP,Brodowski,city,2,0
10/04/2020,SP,Caçapava,city,3,0
10/04/2020,SP,Cachoeira Paulista,city,1,0
10/04/2020,SP,Caieiras,city,32,4
10/04/2020,SP,Cajamar,city,5,1
10/04/2020,SP,Campinas,city,100,5
10/04/2020,SP,Caraguatatuba,city,2,1
10/04/2020,SP,Carapicuíba,city,29,2
10/04/2020,SP,Catanduva,city,3,2
10/04/2020,SP,Cedral,city,1,0
10/04/2020,SP,Cotia,city,53,3
10/04/2020,SP,Cravinhos,city,2,1
10/04/2020,SP,Cubatão,city,2,0
10/04/2020,SP,Diadema,city,59,1
10/04/2020,SP,Dracena,city,1,1
10/04/2020,SP,Eldorado,city,1,0
10/04/2020,SP,Embu das Artes,city,33,2
10/04/2020,SP,Embu-Guaçu,city,4,0
10/04/2020,SP,Ferraz de Vasconcelos,city,35,0
10/04/2020,SP,Franca,city,2,0
10/04/2020,SP,Francisco Morato,city,12,1
10/04/2020,SP,Franco da Rocha,city,18,1
10/04/2020,SP,Guararapes,city,3,0
10/04/2020,SP,Guararema,city,2,0
10/04/2020,SP,Guaratinguetá,city,1,0
10/04/2020,SP,Guarujá,city,7,0
10/04/2020,SP,Guarulhos,city,178,16
10/04/2020,SP,Hortolândia,city,2,0
10/04/2020,SP,Ibiúna,city,1,0
10/04/2020,SP,Ilhabela,city,1,0
10/04/2020,SP,Ilha Comprida,city,9,0
10/04/2020,SP,Importados/Indefinidos,city,93,0
10/04/2020,SP,Indaiatuba,city,3,0
10/04/2020,SP,Iracemápolis,city,1,0
10/04/2020,SP,Itanhaém,city,2,0
10/04/2020,SP,Itapecerica da Serra,city,26,1
10/04/2020,SP,Itapetininga,city,3,1
10/04/2020,SP,Itapeva,city,1,0
10/04/2020,SP,Itapevi,city,17,4
10/04/2020,SP,Itapira,city,1,0
10/04/2020,SP,Itaquaquecetuba,city,24,0
10/04/2020,SP,Itararé,city,1,0
10/04/2020,SP,Itatiba,city,1,1
10/04/2020,SP,Itatinga,city,1,0
10/04/2020,SP,Itu,city,2,0
10/04/2020,SP,Itupeva,city,1,0
10/04/2020,SP,Jaboticabal,city,5,2
10/04/2020,SP,Jacareí,city,1,0
10/04/2020,SP,Jaci,city,1,0
10/04/2020,SP,Jaguariúna,city,1,0
10/04/2020,SP,Jales,city,1,0
10/04/2020,SP,Jandira,city,3,0
10/04/2020,SP,Jaú,city,1,0
10/04/2020,SP,Joanópolis,city,1,0
10/04/2020,SP,José Bonifácio,city,2,0
10/04/2020,SP,Jundiaí,city,12,1
10/04/2020,SP,Laranjal Paulista,city,2,1
10/04/2020,SP,Lençóis Paulista,city,3,0
10/04/2020,SP,Limeira,city,4,0
10/04/2020,SP,Louveira,city,1,0
10/04/2020,SP,Mairiporã,city,7,2
10/04/2020,SP,Marília,city,4,0
10/04/2020,SP,Matão,city,2,0
10/04/2020,SP,Mauá,city,42,0
10/04/2020,SP,Mirassol,city,4,0
10/04/2020,SP,Mococa,city,2,1
10/04/2020,SP,Mogi das Cruzes,city,50,2
10/04/2020,SP,Mogi Guaçu,city,4,1
10/04/2020,SP,Monte Alto,city,3,0
10/04/2020,SP,Nova Odessa,city,1,1
10/04/2020,SP,Olímpia,city,2,0
10/04/2020,SP,Orlândia,city,2,0
10/04/2020,SP,Osasco,city,121,8
10/04/2020,SP,Ourinhos,city,1,0
10/04/2020,SP,Pariquera-Açu,city,2,0
10/04/2020,SP,Paulínia,city,5,0
10/04/2020,SP,Pedra Bela,city,1,0
10/04/2020,SP,Penápolis,city,1,1
10/04/2020,SP,Peruíbe,city,3,0
10/04/2020,SP,Pindamonhangaba,city,1,0
10/04/2020,SP,Pindorama,city,1,0
10/04/2020,SP,Piracicaba,city,12,0
10/04/2020,SP,Pirajuí,city,1,0
10/04/2020,SP,Poá,city,9,1
10/04/2020,SP,Porto Feliz,city,0,0
10/04/2020,SP,Porto Ferreira,city,2,1
