,,,,,,,,,,,n,a,b,c,,,
18.47758812,0.78625948,,72.94901357,1.320608286,,1.191073919,1.234555747,1.282385758,,43948,71,0.870465633,0.913947461,0.961777471,,1.320608286,0.320608286
18.51567151,1.076678973,,73.96633476,1.325031422,,1.199852326,1.243334154,1.291164164,,43949,72,0.874820904,0.918302732,0.966132743,,1.325031422,0.325031422
19.49371847,0.727567873,,75.02261357,1.320608286,,1.200016408,1.247846419,1.29567643,,43950,73,0.879408122,0.927238133,0.975068143,,1.320608286,0.320608286
19.49386496,1.080931988,,76.04010488,1.334047814,,1.178357535,1.221839363,1.269669374,,43951,74,0.844309722,0.88779155,0.93562156,,1.334047814,0.334047814
19.49780136,0.943961277,,77.05742607,1.338470949,,1.182869801,1.23061777,1.278447781,,43952,75,0.844398851,0.892146821,0.939976832,,1.338470949,0.338470949
19.50256474,1.196420248,,78.113875,1.343064205,,1.204692756,1.252522766,1.300352777,,43953,76,0.86162855,0.909458561,0.957288572,,1.343064205,0.343064205
20.54787103,1.063253753,,79.13102607,1.338470949,,1.204856838,1.252604808,1.304783001,,43954,77,0.866385889,0.914133858,0.966312052,,1.338470949,0.338470949
20.54948691,0.696095562,,80.14834726,1.342894085,,1.217983428,1.265813438,1.313643449,,43955,78,0.875089343,0.922919354,0.970749364,,1.342894085,0.342894085
20.55271921,0.867407006,,81.16583858,1.356333612,,1.226843876,1.278940028,1.326770039,,43956,79,0.870510263,0.922606416,0.970436426,,1.356333612,0.356333612
20.55369267,1.091800804,,82.18315977,1.360756748,,1.244236607,1.2964148,1.339896628,,43957,80,0.883479859,0.935658052,0.97913988,,1.360756748,0.360756748
21.52751025,0.691332185,,83.16135322,1.365009763,,1.278857987,1.326687997,1.383214374,,43958,81,0.913848224,0.961678234,1.018204611,,1.365009763,0.365009763
21.53312423,0.988873115,,84.25675977,1.360756748,,1.279350234,1.327180244,1.388054804,,43959,82,0.918593486,0.966423497,1.027298056,,1.360756748,0.360756748
21.55905817,1.096171958,,85.27425108,1.374196275,,1.266469768,1.31856592,1.375174338,,43960,83,0.892273492,0.944369645,1.000978062,,1.374196275,0.374196275
21.56935991,0.835764575,,86.33070001,1.378789532,,1.288210682,1.340470916,1.401345475,,43961,84,0.90942115,0.961681385,1.022555944,,1.378789532,0.378789532
22.58174761,0.578712347,,87.30889346,1.383042547,,1.266551809,1.318730002,1.366560013,,43962,85,0.883509262,0.935687456,0.983517467,,1.383042547,0.383042547
22.58395918,0.695925441,,88.36534239,1.387635803,,1.279842481,1.34071704,1.392895233,,43963,86,0.892206678,0.953081237,1.005259431,,1.387635803,0.387635803
22.58617074,0.813138535,,89.42179132,1.392229059,,1.275576339,1.327754533,1.371318402,,43964,87,0.88334728,0.935525474,0.979089343,,1.392229059,0.392229059
22.59147756,1.094399869,,90.43911251,1.396652195,,1.271392239,1.31922225,1.371400443,,43965,88,0.874740044,0.922570055,0.974748248,,1.396652195,0.396652195
23.59684306,1.098771023,,91.45626358,1.392058938,,1.267044056,1.31922225,1.371400443,,43966,89,0.874985118,0.927163311,0.979341505,,1.392058938,0.392058938
23.59923892,0.592151875,,92.47375489,1.405498466,,1.280334728,1.332512921,1.380342932,,43967,90,0.874836262,0.927014456,0.974844466,,1.405498466,0.405498466
